Game Turn, Attacking Civ, DefendingCiv, AttackerObjType, DefenderObjType, Attacker Type, Defender Type, AttackerID, DefenderID, AttackerStr, DefenderStr, AttackerStrMod, DefenderStrMod, AttackerDmg, DefenderDmg
40, 63, 1, 1:1, 1245202:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, 0, 5, 28, 28
41, 1, 63, 1:1, 327683:262147, UNIT_SCOUT, UNIT_SCOUT, 10, 10, 2, -4, 21, 34
41, 1, 63, 1:1, 131073:1245202, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 10, -3, 20, 43
41, 9, 63, 1:1, 196610:3211307, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -2, -12, 12, 76
41, 63, 0, 1:3, 4194356:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -24, 16, 0, 8
41, 63, 8, 1:1, 5046294:327680, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -8, -4, 34, 25
41, 63, 1, 1:1, 4849685:131073, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, -4, 0, 18
42, 1, 63, 1:1, 458754:3014682, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 2, -2, 0, 54
42, 1, 63, 1:1, 393220:196610, UNIT_SCOUT, UNIT_SPEARMAN, 10, 25, 5, 4, 50, 16
42, 2, 63, 1:1, 524291:4587557, UNIT_ARCHER, UNIT_SPEARMAN, 25, 25, 7, -5, 0, 51
42, 63, 4, 1:3, 4718634:65536, UNIT_WARRIOR, UNKNOWN, 20, 10, 0, 11, 26, 31
42, 63, 4, 1:3, 4915240:65536, UNIT_WARRIOR, UNKNOWN, 20, 10, 0, 10, 29, 32
42, 63, 0, 1:3, 4194356:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -24, 16, 0, 7
43, 1, 63, 1:1, 196608:2293794, UNIT_SCOUT, UNIT_SCOUT, 10, 10, 5, 0, 26, 32
43, 63, 4, 1:3, 4718634:65536, UNIT_WARRIOR, UNKNOWN, 20, 10, -3, 11, 38, 23
43, 63, 4, 1:3, 4915240:65536, UNIT_WARRIOR, UNKNOWN, 20, 10, -3, 10, 28, 23
43, 63, 0, 1:3, 4194356:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -24, 16, 0, 7
43, 63, 1, 1:1, 4849685:524293, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, -6, 5, 0, 17
44, 1, 63, 1:1, 458754:3014682, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 2, -7, 0, 56
44, 1, 63, 1:1, 524293:4849685, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 10, -6, 9, 97
44, 63, 4, 1:3, 4915240:65536, UNIT_WARRIOR, UNKNOWN, 20, 10, -6, 12, 46, 20
44, 63, 0, 1:3, 4194356:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -24, 16, 0, 8
45, 1, 63, 1:1, 196608:3866674, UNIT_SCOUT, UNIT_SLINGER, 10, 5, 2, -6, 19, 46
45, 63, 0, 1:3, 4194356:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -24, 16, 0, 6
45, 63, 5, 1:1, 5636139:262146, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 3, 0, 37
45, 63, 5, 1:1, 5308439:262146, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 0, -1, 21, 41
46, 1, 63, 1:1, 524293:5898266, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, 2, 0, 15, 48
46, 63, 4, 1:3, 4456477:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -17, 13, 0, 11
47, 1, 63, 1:1, 524293:1245202, UNIT_WARRIOR, UNIT_SPEARMAN, 20, 25, 13, -1, 24, 36
47, 3, 63, 1:1, 131073:5308439, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, -2, 23, 34
47, 4, 63, 1:1, 393216:4456477, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 12, 0, 11, 80
47, 11, 63, 1:1, 458757:3801137, UNIT_ARCHER, UNIT_SCOUT, 25, 10, 0, 6, 0, 34
47, 63, 3, 1:1, 5111815:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, 3, 32, 28
47, 63, 1, 1:1, 5898266:524293, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -5, 5, 69, 12
48, 3, 63, 1:1, 327682:5308439, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, -5, 0, 42
48, 3, 63, 1:1, 131073:5111815, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 0, -3, 27, 27
48, 63, 4, 1:1, 4718634:458755, UNIT_WARRIOR, UNIT_SCOUT, 20, 10, -6, 2, 32, 35
48, 63, 5, 1:1, 5636139:262146, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 0, 6, 0, 25
49, 0, 63, 1:1, 327682:4194356, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, -2, 11, 65
49, 3, 63, 1:1, 327682:5308439, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, -10, 0, 35
49, 3, 63, 1:1, 131073:5111815, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, -6, 28, 38
49, 4, 63, 1:1, 393216:4259886, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 11, 0, 23, 41
49, 4, 63, 1:1, 458755:4718634, UNIT_SCOUT, UNIT_WARRIOR, 10, 20, -1, -10, 32, 31
49, 5, 63, 1:1, 131073:5374006, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 5, 3, 24, 27
49, 63, 5, 1:1, 5374006:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, 6, 46, 21
50, 3, 63, 1:1, 327682:5636139, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, 0, 0, 63
50, 4, 63, 1:1, 393216:4259886, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 9, -1, 21, 38
50, 4, 63, 1:1, 458755:4456477, UNIT_SCOUT, UNIT_SLINGER, 10, 5, -4, -5, 22, 19
50, 5, 63, 1:1, 131073:5374006, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 1, -4, 22, 36
50, 63, 4, 1:3, 4456477:65536, UNIT_SLINGER, UNKNOWN, 15, 10, -27, 13, 0, 6
50, 63, 0, 1:3, 2424867:65536, UNIT_WARRIOR, UNKNOWN, 20, 25, 0, 11, 56, 18
51, 3, 63, 1:1, 327682:5636139, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, -6, 0, 69
51, 4, 63, 1:1, 393216:4259886, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 7, -8, 18, 56
51, 63, 0, 1:3, 4784167:65536, UNIT_WARRIOR, UNKNOWN, 20, 25, 0, 11, 65, 13
52, 0, 63, 1:1, 524292:917517, UNIT_PHOENICIA_BIREME, UNIT_GALLEY, 35, 30, 5, -2, 21, 43
52, 3, 63, 1:1, 327682:5111815, UNIT_SLINGER, UNIT_WARRIOR, 15, 20, 5, -10, 0, 41
53, 0, 63, 1:1, 524292:917517, UNIT_PHOENICIA_BIREME, UNIT_GALLEY, 35, 30, 3, -1, 24, 39
53, 11, 63, 1:1, 458757:3801137, UNIT_ARCHER, UNIT_SCOUT, 25, 10, 0, 3, 0, 55
53, 63, 14, 1:1, 196610:131073, UNIT_SPEARMAN, UNIT_WARRIOR, 25, 20, -9, 10, 51, 15
54, 14, 63, 1:1, 131073:6357038, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -1, 0, 31, 31
54, 63, 14, 1:1, 6357038:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -3, -5, 23, 25
55, 5, 63, 1:1, 393220:655369, UNIT_SLINGER, UNIT_SCOUT, 15, 10, 5, 0, 0, 40
55, 63, 0, 1:1, 917517:524292, UNIT_GALLEY, UNIT_PHOENICIA_BIREME, 30, 35, -5, 1, 39, 22
55, 63, 14, 1:1, 6357038:131073, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, -5, -2, 38, 29
56, 14, 63, 1:1, 131073:6357038, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 3, -9, 17, 42
57, 1, 63, 1:1, 851969:1638424, UNIT_HEAVY_CHARIOT, UNIT_SCOUT, 28, 10, 5, -5, 9, 99
57, 4, 63, 1:1, 786437:4456477, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, -10, 8, 100
57, 5, 63, 1:1, 458752:2621478, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 5, 0, 12, 55
57, 5, 63, 1:1, 393220:2621478, UNIT_SLINGER, UNIT_SLINGER, 15, 5, 5, -5, 0, 62
57, 63, 5, 1:1, 5963826:393220, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 5, 20, 41
57, 63, 5, 1:1, 6291510:393220, UNIT_WARRIOR, UNIT_SLINGER, 20, 5, 0, 1, 15, 55
58, 5, 63, 1:1, 393220:6553600, UNIT_SLINGER, UNIT_SLINGER, 15, 5, -5, 3, 0, 32
58, 5, 63, 1:1, 131073:6291510, UNIT_WARRIOR, UNIT_WARRIOR, 20, 20, 12, -3, 16, 44
